"Level.Soil.ID","Upper.Boundary","Lower.Boundary","C.kg.m3."
1,0,8,28.6930036
1,10,20,11.9379507
1,30,40,10.5864036
1,70,80,5.27764155
1,120,130,3.76489097
1,250,260,0.46606348
2,0,10,22.7120346
2,10,20,8.04662852
2,30,40,6.65673802
2,70,80,6.52028359
2,120,130,3.88114918
2,250,260,0.5933896
3,0,6,12.7103939
3,10,20,7.41980293
3,30,40,5.98784835
3,70,80,4.43890373
3,120,130,1.01151387
3,250,260,1.07419839
4,0,10,7.54755986
4,10,20,5.38969459
4,30,40,5.97837271
4,70,80,4.34414179
4,120,130,2.06262764
4,250,260,0.55515918
5,0,10,7.44755745
5,10,20,6.51789762
5,30,40,6.50590802
5,70,80,4.52961679
5,120,130,3.05326309
5,250,260,1.18202601
6,0,10,8.61433334
6,10,20,7.03781544
6,30,40,6.16625717
6,70,80,5.27187608
6,120,130,1.94042051
6,250,259,1.10299688
7,0,10,16.8138078
7,12,20,8.20049077
7,30,40,8.38374231
7,72,80,4.03597597
7,120,130,1.24823833
7,250,260,0.71558745
8,0,9,11.6694584
8,10,20,9.43793092
8,30,40,7.90876166
8,70,80,3.13045823
8,120,130,2.45443757
8,250,260,2.0317717
9,0,8,10.2198898
9,10,20,5.94685075
9,30,40,5.80774005
9,50,60,5.70554812
9,70,80,4.93394551
9,120,130,1.76143123
9,243,253,0.85128918
10,0,10,12.8889296
10,10,20,8.51680592
10,30,40,7.82766644
10,52,60,6.48939538
10,70,80,4.88688509
10,120,130,0.54390226
10,250,260,0.58512314
